id,opportunity_id,customer_id,contact_id,method,date,summary,next_action,next_date,recorded_by,created_at
30324657-a7d8-4a71-bd65-4ad14be26386,97e9307e-fc4b-45be-9777-cf3371577e06,a555016d-a66b-4aae-ac9b-b26afb1880ac,ac816ff1-d5cb-4356-870f-d633c37f173f,email,2024-04-14,参加客户组织的供应商说明会,准备投标文件,2024-10-07,李娜,2022-06-12
f9abab7a-815b-4c51-b87c-feaaf526a6ac,8cbc755f-5e20-4e3e-b569-f92042ec252e,cbe8801a-93b5-44f9-8ce7-9b9998fe8a00,623cd843-d122-4627-9eaa-2ddaeff8a632,video,2022-09-23,提交技术方案，等待客户评审意见,安排技术演示,2024-11-22,李娜,2024-02-24
df936fd1-bbef-4dcf-b5d7-8a5d3b29fc71,ac931a17-8163-4dd8-9a0e-302ad9080c5f,016654bb-e840-4b81-a79d-3f019d698561,a44ec5d9-d7d5-44f6-8450-e441715e9119,wechat,2023-03-27,与客户确认需求范围，重点讨论系统集成方案,等待客户反馈,2024-04-30,李娜,2022-12-10
98cca325-03d4-4154-83c4-16c0b567a45c,97e9307e-fc4b-45be-9777-cf3371577e06,a555016d-a66b-4aae-ac9b-b26afb1880ac,1478aacb-e37b-41ba-a2bf-de768d2a3406,visit,2022-05-22,拜访采购部门，了解招标计划时间节点,安排技术演示,2024-07-15,孙静,2022-06-06
f264a0e9-ec64-484e-bf52-e675f4cff4a4,8cbc755f-5e20-4e3e-b569-f92042ec252e,cbe8801a-93b5-44f9-8ce7-9b9998fe8a00,48e5f6d6-8f3f-438b-a601-27f5b8242e63,video,2023-02-22,技术交流，演示系统功能，客户反馈积极,准备投标文件,2024-07-31,张伟,2022-07-31
9a2c4ade-63fa-48ae-9343-2dded24d23ab,29bc5c0c-dd48-48c6-a2b7-6877b681dbd6,0ef9f4cf-ab13-4bb0-a5ef-b3c7e2c13208,2485b5e1-d6f0-4ff2-aff3-5d3cb898a62b,visit,2024-05-27,提交技术方案，等待客户评审意见,准备投标文件,2024-09-01,张伟,2022-12-27
c6a46d26-fd29-400a-8d29-e462bed4e93d,8f959afc-2ecb-4a23-9db6-e48c2f26908b,2a2d66ee-0003-4d79-88bf-e52c16e77e74,2a147457-8f59-4dc8-8cb9-f189f691727d,video,2023-07-06,参加客户组织的供应商说明会,安排技术演示,2024-09-06,张伟,2022-10-07
34a3d03a-b48d-4370-b0ed-1c62c276436b,29bc5c0c-dd48-48c6-a2b7-6877b681dbd6,0ef9f4cf-ab13-4bb0-a5ef-b3c7e2c13208,5591c679-281f-48cb-b348-bc7ef496c175,video,2022-12-11,参加客户组织的供应商说明会,准备投标文件,2024-03-25,李娜,2022-05-11
8225a864-9e88-4a1f-aa19-ea008061fcc3,e6c31118-fd22-444b-93e0-97d4d3f8c1e3,ec23e3db-5f4f-4b44-977f-723d464e743c,5591c679-281f-48cb-b348-bc7ef496c175,video,2023-08-30,跟进项目进度，确认下一步行动计划,提交报价单,2024-02-12,孙静,2023-03-15
3cccb199-3566-47c2-9f1f-4fb4d4ada6d5,b2c353e3-44d0-4083-8a84-490aa6084c8a,a6511b8c-c335-4af4-bbe6-65916bb7db78,ac816ff1-d5cb-4356-870f-d633c37f173f,phone,2022-02-21,技术交流，演示系统功能，客户反馈积极,准备投标文件,2024-06-16,张伟,2023-04-11
6f50eada-aad4-4732-9fac-b01314e56aba,97e9307e-fc4b-45be-9777-cf3371577e06,a555016d-a66b-4aae-ac9b-b26afb1880ac,2a147457-8f59-4dc8-8cb9-f189f691727d,wechat,2024-02-10,提交技术方案，等待客户评审意见,准备投标文件,2024-05-09,张伟,2023-04-27
3b74e89b-1bb6-4ad3-b05d-8081016eca05,164b738b-2e1a-420e-a777-a6cf2a4d3e89,95cea1e3-545c-4d71-aad6-5f12dc010321,1478aacb-e37b-41ba-a2bf-de768d2a3406,visit,2022-12-25,拜访采购部门，了解招标计划时间节点,提交报价单,2024-11-29,张伟,2024-02-12
fd867837-eaad-4b30-a465-f5dfb2b25d02,164b738b-2e1a-420e-a777-a6cf2a4d3e89,95cea1e3-545c-4d71-aad6-5f12dc010321,c494234b-817e-4339-ab5d-7e1030156056,visit,2023-09-29,拜访采购部门，了解招标计划时间节点,安排技术演示,2024-03-05,李娜,2023-11-17
b7d5c3db-acf8-4c73-9d55-314a50ae36e2,127913cf-4980-48b2-bee3-3533e680b7b3,cbe8801a-93b5-44f9-8ce7-9b9998fe8a00,c494234b-817e-4339-ab5d-7e1030156056,video,2023-12-18,技术交流，演示系统功能，客户反馈积极,等待客户反馈,2024-03-26,孙静,2023-09-14
8f39a615-88ea-4f14-8734-516159ed5cbd,8cbc755f-5e20-4e3e-b569-f92042ec252e,cbe8801a-93b5-44f9-8ce7-9b9998fe8a00,290bd182-936f-432f-b3eb-075ec136676f,phone,2022-11-15,与客户确认需求范围，重点讨论系统集成方案,提交报价单,2024-06-08,孙静,2023-11-25
538d3463-f369-4a1c-b169-dfd84037a7a6,29bc5c0c-dd48-48c6-a2b7-6877b681dbd6,0ef9f4cf-ab13-4bb0-a5ef-b3c7e2c13208,c494234b-817e-4339-ab5d-7e1030156056,visit,2023-08-30,参加客户组织的供应商说明会,安排技术演示,2024-02-22,孙静,2024-03-02
f46c087e-95c4-44df-8589-f802a692d544,8f959afc-2ecb-4a23-9db6-e48c2f26908b,2a2d66ee-0003-4d79-88bf-e52c16e77e74,56b4c8f7-561f-4131-8f00-b1c8b209462f,visit,2024-03-26,跟进项目进度，确认下一步行动计划,提交报价单,2024-06-26,孙静,2023-03-15
291cd96b-f580-4083-9cc2-0d247a40bcea,c2134a11-6852-4af6-b7fc-46fd3f616307,95cea1e3-545c-4d71-aad6-5f12dc010321,48e5f6d6-8f3f-438b-a601-27f5b8242e63,email,2023-10-26,技术交流，演示系统功能，客户反馈积极,提交报价单,2024-08-03,李娜,2022-04-19
387ce9cc-825f-421b-9a24-efaff0287e33,29bc5c0c-dd48-48c6-a2b7-6877b681dbd6,0ef9f4cf-ab13-4bb0-a5ef-b3c7e2c13208,ac816ff1-d5cb-4356-870f-d633c37f173f,phone,2023-03-22,拜访采购部门，了解招标计划时间节点,等待客户反馈,2024-11-11,孙静,2024-03-04
92cc0e0c-235d-40f1-92c4-28339e5f9469,10055c0e-ed16-434d-ac04-8b5c45489913,23737dec-9bce-472c-b1c0-a3027d979391,66a36d39-eef8-4bae-8e7c-e6bb5b5c2512,email,2022-10-02,技术交流，演示系统功能，客户反馈积极,安排技术演示,2024-02-14,李娜,2023-04-07
ae084f14-a6a5-4df2-b7d0-4c1eda98eb04,2dd0a2cd-4b59-4a90-a3a9-710a03710b11,9ca36a6e-b68b-4f55-9f43-d5e69fd721af,ac816ff1-d5cb-4356-870f-d633c37f173f,email,2023-09-17,参加客户组织的供应商说明会,准备投标文件,2024-06-21,张伟,2023-05-22
1ac09aef-0852-4512-bf88-95f6f10b8c66,97e9307e-fc4b-45be-9777-cf3371577e06,a555016d-a66b-4aae-ac9b-b26afb1880ac,623cd843-d122-4627-9eaa-2ddaeff8a632,phone,2022-12-30,提交技术方案，等待客户评审意见,等待客户反馈,2024-06-23,李娜,2023-09-03
421abdd5-fd23-42f9-96d1-c04afd734c15,8cbc755f-5e20-4e3e-b569-f92042ec252e,cbe8801a-93b5-44f9-8ce7-9b9998fe8a00,025c67f7-efb0-49bb-9a9f-88d547073c1c,email,2022-01-11,跟进项目进度，确认下一步行动计划,安排技术演示,2024-02-13,张伟,2024-01-08
40996a4c-45f7-41a8-970b-7e6e1625fcdf,29bc5c0c-dd48-48c6-a2b7-6877b681dbd6,0ef9f4cf-ab13-4bb0-a5ef-b3c7e2c13208,1478aacb-e37b-41ba-a2bf-de768d2a3406,phone,2023-12-09,商务洽谈，初步确认合同条款框架,准备投标文件,2024-08-17,张伟,2022-04-06
138009cf-e821-46c6-90e0-c8a61111bd14,8f959afc-2ecb-4a23-9db6-e48c2f26908b,2a2d66ee-0003-4d79-88bf-e52c16e77e74,2a147457-8f59-4dc8-8cb9-f189f691727d,phone,2022-11-10,参加客户组织的供应商说明会,等待客户反馈,2024-08-30,孙静,2023-06-28
0448bbae-a406-4517-92ac-a90ea17b33e9,97e9307e-fc4b-45be-9777-cf3371577e06,a555016d-a66b-4aae-ac9b-b26afb1880ac,1478aacb-e37b-41ba-a2bf-de768d2a3406,wechat,2022-12-27,参加客户组织的供应商说明会,准备投标文件,2024-05-18,李娜,2022-09-15
ce90a002-78b7-4fc8-8c95-d15814631cf2,2dd0a2cd-4b59-4a90-a3a9-710a03710b11,9ca36a6e-b68b-4f55-9f43-d5e69fd721af,c494234b-817e-4339-ab5d-7e1030156056,wechat,2022-05-03,参加客户组织的供应商说明会,安排技术演示,2024-04-08,张伟,2024-01-27
35aea0c2-311f-493b-adc6-2921a65af4d0,10055c0e-ed16-434d-ac04-8b5c45489913,23737dec-9bce-472c-b1c0-a3027d979391,2485b5e1-d6f0-4ff2-aff3-5d3cb898a62b,email,2023-09-04,技术交流，演示系统功能，客户反馈积极,提交报价单,2024-04-09,李娜,2022-08-21
fe3ffb92-7e54-42a5-b1dd-215974b0ceac,97e9307e-fc4b-45be-9777-cf3371577e06,a555016d-a66b-4aae-ac9b-b26afb1880ac,5650e2a2-595f-4c0b-9720-31a77af8aa51,visit,2023-12-27,跟进项目进度，确认下一步行动计划,安排技术演示,2024-05-20,张伟,2022-02-25
2bc104c4-93b6-4426-9c6a-8978d29519ae,ac931a17-8163-4dd8-9a0e-302ad9080c5f,016654bb-e840-4b81-a79d-3f019d698561,2d6fe5bf-60c0-4ea1-89ed-c3f7d9951bd6,video,2022-04-16,提交技术方案，等待客户评审意见,提交报价单,2024-10-20,李娜,2023-04-26
